
*******************
* Started on 2010-08-18 08/03/47
* Using start frequency 1001
*******************
* time:pressure:isPlaying:aborting:frequency:maxPressure:pressureThreshold
2010-08-18 08/17/57:114:1:0:1084:119:140:
2010-08-18 08/17/59:113:1:0:1084:119:140:
2010-08-18 08/18/01:113:1:0:1084:119:140:
2010-08-18 08/18/03:114:1:0:1085:119:140:
2010-08-18 08/18/05:112:1:0:1085:119:140:
2010-08-18 08/18/07:114:1:0:1085:119:140:
2010-08-18 08/18/09:113:1:0:1085:119:140:
2010-08-18 08/18/11:114:1:0:1085:119:140:
2010-08-18 08/18/14:113:1:0:1086:120:140:
2010-08-18 08/18/16:114:1:0:1086:120:140:
2010-08-18 08/18/18:114:1:0:1086:120:140:
2010-08-18 08/18/20:114:1:0:1086:120:140:
2010-08-18 08/18/22:113:1:0:1086:120:140:
2010-08-18 08/18/24:113:1:0:1087:119:140:
2010-08-18 08/18/26:115:1:0:1087:119:140:
2010-08-18 08/18/28:113:1:0:1087:119:140:
2010-08-18 08/18/30:114:1:0:1087:120:140:
2010-08-18 08/18/32:114:1:0:1087:120:140:
2010-08-18 08/18/34:113:1:0:1088:118:140:
2010-08-18 08/18/36:113:1:0:1088:119:140:
2010-08-18 08/18/38:113:1:0:1088:119:140:
2010-08-18 08/18/40:113:1:0:1088:119:140:
2010-08-18 08/18/42:113:1:0:1088:119:140:
2010-08-18 08/18/44:113:1:0:1089:119:140:
2010-08-18 08/18/46:114:1:0:1089:119:140:
2010-08-18 08/18/48:113:1:0:1089:119:140:
2010-08-18 08/18/50:113:1:0:1089:119:140:
2010-08-18 08/18/52:113:1:0:1089:119:140:
2010-08-18 08/18/54:114:1:0:1090:118:140:
2010-08-18 08/18/56:114:1:0:1090:119:140:
2010-08-18 08/18/58:114:1:0:1090:119:140:
2010-08-18 08/19/00:113:1:0:1090:119:140:
2010-08-18 08/19/02:115:1:0:1090:119:140:
2010-08-18 08/19/04:113:1:0:1091:119:140:
2010-08-18 08/19/06:114:1:0:1091:119:140:
2010-08-18 08/19/08:114:1:0:1091:119:140:
2010-08-18 08/19/10:114:1:0:1091:119:140:
2010-08-18 08/19/12:114:1:0:1091:119:140:
2010-08-18 08/19/14:113:1:0:1092:117:140:
2010-08-18 08/19/16:112:1:0:1092:117:140:
2010-08-18 08/19/18:113:1:0:1092:117:140:
2010-08-18 08/19/20:114:1:0:1092:117:140:
2010-08-18 08/19/23:114:1:0:1092:117:140:
2010-08-18 08/19/25:114:1:0:1093:116:140:
2010-08-18 08/19/27:113:1:0:1093:117:140:
2010-08-18 08/19/29:113:1:0:1093:117:140:
2010-08-18 08/19/31:113:1:0:1093:117:140:
2010-08-18 08/19/33:114:1:0:1093:117:140:
2010-08-18 08/19/35:114:1:0:1094:117:140:
2010-08-18 08/19/37:114:1:0:1094:117:140:
2010-08-18 08/19/39:114:1:0:1094:117:140:
2010-08-18 08/19/41:114:1:0:1094:117:140:
2010-08-18 08/19/43:115:1:0:1094:117:140:
2010-08-18 08/19/45:113:1:0:1095:117:140:
2010-08-18 08/19/47:113:1:0:1095:117:140:
2010-08-18 08/19/49:114:1:0:1095:117:140:
2010-08-18 08/19/51:113:1:0:1095:117:140:
2010-08-18 08/19/53:114:1:0:1095:117:140:
2010-08-18 08/19/55:114:1:0:1096:116:140:
2010-08-18 08/19/57:114:1:0:1096:117:140:
2010-08-18 08/19/59:114:1:0:1096:117:140:
2010-08-18 08/20/01:111:1:0:1096:117:140:
2010-08-18 08/20/03:113:1:0:1096:117:140:
2010-08-18 08/20/05:114:1:0:1097:119:140:
2010-08-18 08/20/07:114:1:0:1097:119:140:
2010-08-18 08/20/09:114:1:0:1097:119:140:
2010-08-18 08/20/11:113:1:0:1097:119:140:
2010-08-18 08/20/13:113:1:0:1097:119:140:
2010-08-18 08/20/15:112:1:0:1098:119:140:
2010-08-18 08/20/17:113:1:0:1098:119:140:
2010-08-18 08/20/19:113:1:0:1098:119:140:
2010-08-18 08/20/21:113:1:0:1098:119:140:
2010-08-18 08/20/23:113:1:0:1098:119:140:
2010-08-18 08/20/25:114:1:0:1099:119:140:
2010-08-18 08/20/27:113:1:0:1099:119:140:
2010-08-18 08/20/29:113:1:0:1099:119:140:
2010-08-18 08/20/32:113:1:0:1099:119:140:
2010-08-18 08/20/34:113:1:0:1099:119:140:
2010-08-18 08/20/36:114:1:0:1100:119:140:
2010-08-18 08/20/38:114:1:0:1100:119:140:
2010-08-18 08/20/40:114:1:0:1100:119:140:
2010-08-18 08/20/42:113:1:0:1100:120:140:
2010-08-18 08/20/44:113:1:0:1100:120:140:
2010-08-18 08/20/46:113:1:0:1101:119:140:
2010-08-18 08/20/48:113:1:0:1101:119:140:
2010-08-18 08/20/50:113:1:0:1101:119:140:
